Jiawei Han
Wei Liu
Hyungsul Kim
Christopher Leckie
Neal Lathia
Shiyu Chang
Shantanu Godbole
Benjamin C. M. Fung
Jian-Tao Sun
Michael D. Ernst
Tien N. Nguyen
Andr&#233; van der Hoek
Premkumar T. Devanbu
Denys Poshyvanyk
Tim Menzies
Rocco Oliveto
Alessandro Orso
Mark Harman
Tao Xie
Rick Kazman
Barry W. Boehm
Gabriele Bavota
Nachiappan Nagappan
Thomas Zimmermann
Sebasti&#225;n Uchitel
Gregg Rothermel
Martin P. Robillard
Ahmed E. Hassan
Arie van Deursen
Andrea De Lucia
Jeff Kramer
Mauro Pezz&#232;
Kevin J. Sullivan
Christian Bird
Gail C. Murphy
Jane Cleland-Huang
Philippe Kruchten
Andrian Marcus
Hoan Anh Nguyen
Margaret-Anne D. Storey
Abhik Roychoudhury
Sven Apel
Carlo Ghezzi
Hung Viet Nguyen
Emerson R. Murphy-Hill
Marsha Chechik
James D. Herbsleb
Xiangyu Zhang
Massimiliano Di Penta
David M. Weiss
David Notkin
Don S. Batory
Wolfgang Emmerich
Leon J. Osterweil
Jan Bosch
Bashar Nuseibeh
V&#237;ctor A. Braberman
Ian Gorton
Hongyu Zhang
Leonardo Mariani
Tung Thanh Nguyen
Christian K&#228;stner
David Garlan
Harold Ossher
Michele Lanza
Sarfraz Khurshid
Reid Holmes
Bram Adams
Lu Zhang
Corina S. Pasareanu
Darko Marinov
Judith Bishop
Andrew Begel
Audris Mockus
Sebastian G. Elbaum
Patricia Lago
Richard N. Taylor
Lionel C. Briand
Peri L. Tarr
Steven P. Reiss
Alexander B. Romanovsky
Jon Whittle
Nikolai Tillmann
Zhendong Su
Miryung Kim
Danny Dig
Mehdi Mirakhorli
Katsuro Inoue
Brian Fitzgerald
Collin McMillan
Andreas Zeller
Jeff Magee
Daniela Damian
Xavier Franch
Myra B. Cohen
Kurt Schneider
William G. Griswold
Saurabh Sinha
Adam A. Porter
Alberto Bacchelli
Mark Grechanik
Hridesh Rajan
Zhenchang Xing
Jin Song Dong
Michael Pradel
Ipek Ozkaya
Willem Visser
Dewayne E. Perry
Robert L. Nord
Matt Staats
Robert Balzer
Hausi A. M&#252;ller
Krzysztof Czarnecki
Sai Zhang
Frank Tip
Ralph E. Johnson
Grigore Rosu
Jeff Gray
Dongmei Zhang
Anthony Finkelstein
Walter F. Tichy
Ivica Crnkovic
