Maxime Cordy	http://dblp.uni-trier.de/pers/hd/c/Cordy:Maxime
Brittany Johnson	http://dblp.uni-trier.de/pers/hd/j/Johnson:Brittany
Daniel Jackson	http://dblp.uni-trier.de/pers/hd/j/Jackson:Daniel
Victor R. Basili	http://dblp.uni-trier.de/pers/hd/b/Basili:Victor_R=
Alexander Chatzigeorgiou	http://dblp.uni-trier.de/pers/hd/c/Chatzigeorgiou:Alexander
Burak Turhan	http://dblp.uni-trier.de/pers/hd/t/Turhan:Burak
Mark Staples	http://dblp.uni-trier.de/pers/hd/s/Staples:Mark
Yonghee Shin	http://dblp.uni-trier.de/pers/hd/s/Shin:Yonghee
Ping Zhang	http://dblp.uni-trier.de/pers/hd/z/Zhang_0013:Ping
Yvan Labiche	http://dblp.uni-trier.de/pers/hd/l/Labiche:Yvan
Myoungkyu Song	http://dblp.uni-trier.de/pers/hd/s/Song:Myoungkyu
Thomas Stauner	http://dblp.uni-trier.de/pers/hd/s/Stauner:Thomas
Holger Giese	http://dblp.uni-trier.de/pers/hd/g/Giese:Holger
John T. Stasko	http://dblp.uni-trier.de/pers/hd/s/Stasko:John_T=
Jyrki Kontio	http://dblp.uni-trier.de/pers/hd/k/Kontio:Jyrki
Alessandra Russo	http://dblp.uni-trier.de/pers/hd/r/Russo:Alessandra
Jean-Marc J&#233;z&#233;quel	http://dblp.uni-trier.de/pers/hd/j/J=eacute=z=eacute=quel:Jean=Marc
Suresh Thummalapenta	http://dblp.uni-trier.de/pers/hd/t/Thummalapenta:Suresh
Mary Lou Soffa	http://dblp.uni-trier.de/pers/hd/s/Soffa:Mary_Lou
Liming Zhu	http://dblp.uni-trier.de/pers/hd/z/Zhu:Liming
Walt Scacchi	http://dblp.uni-trier.de/pers/hd/s/Scacchi:Walt
Helen Sharp	http://dblp.uni-trier.de/pers/hd/s/Sharp:Helen
Mehdi Jazayeri	http://dblp.uni-trier.de/pers/hd/j/Jazayeri:Mehdi
Gerwin Klein	http://dblp.uni-trier.de/pers/hd/k/Klein:Gerwin
Cristian Cadar	http://dblp.uni-trier.de/pers/hd/c/Cadar:Cristian
Clemens A. Szyperski	http://dblp.uni-trier.de/pers/hd/s/Szyperski:Clemens_A=
Ji Wang	http://dblp.uni-trier.de/pers/hd/w/Wang:Ji
Zhen Ming Jiang	http://dblp.uni-trier.de/pers/hd/j/Jiang:Zhen_Ming
Kostas Kontogiannis	http://dblp.uni-trier.de/pers/hd/k/Kontogiannis:Kostas
Christine Julien	http://dblp.uni-trier.de/pers/hd/j/Julien:Christine
Mira Mezini	http://dblp.uni-trier.de/pers/hd/m/Mezini:Mira
Muhammad Ali Babar	http://dblp.uni-trier.de/pers/hd/b/Babar:Muhammad_Ali
Roel Wieringa	http://dblp.uni-trier.de/pers/hd/w/Wieringa:Roel
David Binkley	http://dblp.uni-trier.de/pers/hd/b/Binkley:David
Norbert Siegmund	http://dblp.uni-trier.de/pers/hd/s/Siegmund:Norbert
Mira Kajko-Mattsson	http://dblp.uni-trier.de/pers/hd/k/Kajko=Mattsson:Mira
Alessandro Garcia	http://dblp.uni-trier.de/pers/hd/g/Garcia:Alessandro
Fabrizio Pastore	http://dblp.uni-trier.de/pers/hd/p/Pastore:Fabrizio
Henry Muccini	http://dblp.uni-trier.de/pers/hd/m/Muccini:Henry
Janet E. Burge	http://dblp.uni-trier.de/pers/hd/b/Burge:Janet_E=
Cristina Gacek	http://dblp.uni-trier.de/pers/hd/g/Gacek:Cristina
William G. J. Halfond	http://dblp.uni-trier.de/pers/hd/h/Halfond:William_G=_J=
Domenico Cotroneo	http://dblp.uni-trier.de/pers/hd/c/Cotroneo:Domenico
Paul Luo Li	http://dblp.uni-trier.de/pers/hd/l/Li:Paul_Luo
Laura Inozemtseva	http://dblp.uni-trier.de/pers/hd/i/Inozemtseva:Laura
Shihong Huang	http://dblp.uni-trier.de/pers/hd/h/Huang:Shihong
Janet Siegmund	http://dblp.uni-trier.de/pers/hd/s/Siegmund:Janet
Brad A. Myers	http://dblp.uni-trier.de/pers/hd/m/Myers:Brad_A=
